periode_data,wilayah,kecamatan,tenaga_kesehatan,jumlah
2019,JAKARTA BARAT,GROGOL PETAMBURAN,DOKTER,42
2019,JAKARTA BARAT,TAMBORA,DOKTER,43
2019,JAKARTA BARAT,TAMAN SARI,DOKTER,29
2019,JAKARTA BARAT,CENGKARENG,DOKTER,64
2019,JAKARTA BARAT,KALIDERES,DOKTER,56
2019,JAKARTA UTARA,PENJARINGAN,DOKTER,795
2019,JAKARTA UTARA,PADEMANGAN,DOKTER,98
2019,JAKARTA UTARA,TANJUNG PRIOK,DOKTER,648
2019,JAKARTA UTARA,KOJA,DOKTER,475
2019,JAKARTA UTARA,KELAPA GADING,DOKTER,424
2019,JAKARTA UTARA,CILINCING,DOKTER,324
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PERAWAT,33
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PERAWAT,32
2019,JAKARTA SELATAN,CILANDAK,PERAWAT,1244
2019,JAKARTA SELATAN,JAGAKARSA,PERAWAT,281
2019,JAKARTA SELATAN,KEBAYORAN BARU,PERAWAT,724
2019,JAKARTA SELATAN,KEBAYORAN LAMA,PERAWAT,599
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,PERAWAT,114
2019,JAKARTA SELATAN,PANCORAN,PERAWAT,215
2019,JAKARTA SELATAN,PASAR MINGGU,PERAWAT,519
2019,JAKARTA SELATAN,PESANGGRAHAN,PERAWAT,135
2019,JAKARTA SELATAN,SETIABUDI,PERAWAT,669
2019,JAKARTA SELATAN,TEBET,PERAWAT,137
2019,JAKARTA TIMUR,JATINEGARA,PERAWAT,596
2019,JAKARTA TIMUR,MATRAMAN,PERAWAT,193
2019,JAKARTA UTARA,CILINCING,FARMASI,94
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,AHLI_GIZI,2
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,AHLI_GIZI,5
2019,JAKARTA SELATAN,CILANDAK,AHLI_GIZI,54
2019,JAKARTA SELATAN,JAGAKARSA,AHLI_GIZI,35
2019,JAKARTA SELATAN,KEBAYORAN BARU,AHLI_GIZI,29
2019,JAKARTA SELATAN,KEBAYORAN LAMA,AHLI_GIZI,19
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,AHLI_GIZI,11
2019,JAKARTA SELATAN,PANCORAN,AHLI_GIZI,17
2019,JAKARTA SELATAN,PASAR MINGGU,AHLI_GIZI,24
2019,JAKARTA SELATAN,PESANGGRAHAN,AHLI_GIZI,11
2019,JAKARTA SELATAN,SETIABUDI,AHLI_GIZI,24
2019,JAKARTA SELATAN,TEBET,AHLI_GIZI,12
2019,JAKARTA TIMUR,JATINEGARA,AHLI_GIZI,22
2019,JAKARTA TIMUR,MATRAMAN,AHLI_GIZI,10
2019,JAKARTA TIMUR,PULOGADUNG,AHLI_GIZI,14
2019,JAKARTA TIMUR,CAKUNG,AHLI_GIZI,12
2019,JAKARTA TIMUR,DUREN SAWIT,AHLI_GIZI,13
2019,JAKARTA TIMUR,KRAMAT JATI,AHLI_GIZI,29
2019,JAKARTA TIMUR,MAKASAR,AHLI_GIZI,24
2019,JAKARTA TIMUR,CIPAYUNG,AHLI_GIZI,27
2019,JAKARTA TIMUR,PASAR REBO,AHLI_GIZI,24
2019,JAKARTA TIMUR,CIRACAS,AHLI_GIZI,12
2019,JAKARTA PUSAT,CEMPAKA PUTIH,AHLI_GIZI,33
2019,JAKARTA PUSAT,JOHAR BARU,AHLI_GIZI,8
2019,JAKARTA PUSAT,MENTENG,AHLI_GIZI,24
2019,JAKARTA PUSAT,TANAH ABANG,AHLI_GIZI,29
2019,JAKARTA PUSAT,KEMAYORAN,AHLI_GIZI,22
2019,JAKARTA PUSAT,SENEN,AHLI_GIZI,123
2019,JAKARTA PUSAT,SAWAH BESAR,AHLI_GIZI,8
2019,JAKARTA PUSAT,GAMBIR,AHLI_GIZI,22
2019,JAKARTA BARAT,KEMBANGAN,AHLI_GIZI,3
2019,JAKARTA BARAT,KEBON JERUK,AHLI_GIZI,10
2019,JAKARTA BARAT,PALMERAH,AHLI_GIZI,11
2019,JAKARTA BARAT,GROGOL PETAMBURAN,AHLI_GIZI,9
2019,JAKARTA BARAT,TAMBORA,AHLI_GIZI,10
2019,JAKARTA BARAT,TAMAN SARI,AHLI_GIZI,8
2019,JAKARTA BARAT,CENGKARENG,AHLI_GIZI,4
2019,JAKARTA BARAT,KALIDERES,AHLI_GIZI,8
2019,JAKARTA UTARA,PENJARINGAN,AHLI_GIZI,37
2019,JAKARTA UTARA,PADEMANGAN,AHLI_GIZI,7
2019,JAKARTA UTARA,TANJUNG PRIOK,AHLI_GIZI,33
2019,JAKARTA UTARA,KOJA,AHLI_GIZI,34
2019,JAKARTA UTARA,KELAPA GADING,AHLI_GIZI,32
2019,JAKARTA UTARA,CILINCING,AHLI_GIZI,19
2019,JAKARTA TIMUR,PULOGADUNG,PERAWAT,206
2019,JAKARTA TIMUR,CAKUNG,PERAWAT,272
2019,JAKARTA TIMUR,DUREN SAWIT,PERAWAT,248
2019,JAKARTA TIMUR,KRAMAT JATI,PERAWAT,710
2019,JAKARTA TIMUR,MAKASAR,PERAWAT,521
2019,JAKARTA TIMUR,CIPAYUNG,PERAWAT,230
2019,JAKARTA TIMUR,PASAR REBO,PERAWAT,628
2019,JAKARTA TIMUR,CIRACAS,PERAWAT,225
2019,JAKARTA PUSAT,CEMPAKA PUTIH,PERAWAT,679
2019,JAKARTA PUSAT,JOHAR BARU,PERAWAT,45
2019,JAKARTA PUSAT,MENTENG,PERAWAT,693
2019,JAKARTA PUSAT,TANAH ABANG,PERAWAT,485
2019,JAKARTA PUSAT,KEMAYORAN,PERAWAT,476
2019,JAKARTA PUSAT,SENEN,PERAWAT,3639
2019,JAKARTA PUSAT,SAWAH BESAR,PERAWAT,267
2019,JAKARTA PUSAT,GAMBIR,PERAWAT,1274
2019,JAKARTA BARAT,KEMBANGAN,PERAWAT,43
2019,JAKARTA BARAT,KEBON JERUK,PERAWAT,51
2019,JAKARTA BARAT,PALMERAH,PERAWAT,43
2019,JAKARTA BARAT,GROGOL PETAMBURAN,PERAWAT,35
2019,JAKARTA BARAT,TAMBORA,PERAWAT,51
2019,JAKARTA BARAT,TAMAN SARI,PERAWAT,26
2019,JAKARTA BARAT,CENGKARENG,PERAWAT,59
2019,JAKARTA BARAT,KALIDERES,PERAWAT,68
2019,JAKARTA UTARA,PENJARINGAN,PERAWAT,853
2019,JAKARTA UTARA,PADEMANGAN,PERAWAT,89
2019,JAKARTA UTARA,TANJUNG PRIOK,PERAWAT,809
2019,JAKARTA UTARA,KOJA,PERAWAT,1244
2019,JAKARTA UTARA,KELAPA GADING,PERAWAT,332
2019,JAKARTA UTARA,CILINCING,PERAWAT,354
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,BIDAN,23
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,BIDAN,22
2019,JAKARTA SELATAN,CILANDAK,BIDAN,173
2019,JAKARTA SELATAN,JAGAKARSA,BIDAN,212
2019,JAKARTA SELATAN,KEBAYORAN BARU,BIDAN,206
2019,JAKARTA SELATAN,KEBAYORAN LAMA,BIDAN,162
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,BIDAN,83
2019,JAKARTA SELATAN,PANCORAN,BIDAN,103
2019,JAKARTA SELATAN,PASAR MINGGU,BIDAN,170
2019,JAKARTA SELATAN,PESANGGRAHAN,BIDAN,94
2019,JAKARTA SELATAN,SETIABUDI,BIDAN,105
2019,JAKARTA SELATAN,TEBET,BIDAN,61
2019,JAKARTA TIMUR,JATINEGARA,BIDAN,76
2019,JAKARTA TIMUR,MATRAMAN,BIDAN,79
2019,JAKARTA TIMUR,PULOGADUNG,BIDAN,110
2019,JAKARTA TIMUR,CAKUNG,BIDAN,97
2019,JAKARTA TIMUR,DUREN SAWIT,BIDAN,135
2019,JAKARTA TIMUR,KRAMAT JATI,BIDAN,151
2019,JAKARTA TIMUR,MAKASAR,BIDAN,150
2019,JAKARTA TIMUR,CIPAYUNG,BIDAN,135
2019,JAKARTA TIMUR,PASAR REBO,BIDAN,124
2019,JAKARTA TIMUR,CIRACAS,BIDAN,105
2019,JAKARTA PUSAT,CEMPAKA PUTIH,BIDAN,107
2019,JAKARTA PUSAT,JOHAR BARU,BIDAN,42
2019,JAKARTA PUSAT,MENTENG,BIDAN,116
2019,JAKARTA PUSAT,TANAH ABANG,BIDAN,96
2019,JAKARTA PUSAT,KEMAYORAN,BIDAN,218
2019,JAKARTA PUSAT,SENEN,BIDAN,224
2019,JAKARTA PUSAT,SAWAH BESAR,BIDAN,68
2019,JAKARTA PUSAT,GAMBIR,BIDAN,199
2019,JAKARTA BARAT,KEMBANGAN,BIDAN,40
2019,JAKARTA BARAT,KEBON JERUK,BIDAN,51
2019,JAKARTA BARAT,PALMERAH,BIDAN,43
2019,JAKARTA BARAT,GROGOL PETAMBURAN,BIDAN,40
2019,JAKARTA BARAT,TAMBORA,BIDAN,47
2019,JAKARTA BARAT,TAMAN SARI,BIDAN,30
2019,JAKARTA BARAT,CENGKARENG,BIDAN,60
2019,JAKARTA BARAT,KALIDERES,BIDAN,62
2019,JAKARTA UTARA,PENJARINGAN,BIDAN,218
2019,JAKARTA UTARA,PADEMANGAN,BIDAN,46
2019,JAKARTA UTARA,TANJUNG PRIOK,BIDAN,227
2019,JAKARTA UTARA,KOJA,BIDAN,242
2019,JAKARTA UTARA,KELAPA GADING,BIDAN,64
2019,JAKARTA UTARA,CILINCING,BIDAN,203
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,FARMASI,9
2019,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,FARMASI,8
2019,JAKARTA SELATAN,CILANDAK,FARMASI,303
2019,JAKARTA SELATAN,JAGAKARSA,FARMASI,116
2019,JAKARTA SELATAN,KEBAYORAN BARU,FARMASI,215
2019,JAKARTA SELATAN,KEBAYORAN LAMA,FARMASI,154
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,FARMASI,73
2019,JAKARTA SELATAN,PANCORAN,FARMASI,74
2019,JAKARTA SELATAN,PASAR MINGGU,FARMASI,153
2019,JAKARTA SELATAN,PESANGGRAHAN,FARMASI,60
2019,JAKARTA SELATAN,SETIABUDI,FARMASI,223
2019,JAKARTA SELATAN,TEBET,FARMASI,38
2019,JAKARTA TIMUR,JATINEGARA,FARMASI,100
2019,JAKARTA TIMUR,MATRAMAN,FARMASI,39
2019,JAKARTA TIMUR,PULOGADUNG,FARMASI,48
2019,JAKARTA TIMUR,CAKUNG,FARMASI,65
2019,JAKARTA TIMUR,DUREN SAWIT,FARMASI,107
2019,JAKARTA TIMUR,KRAMAT JATI,FARMASI,94
2019,JAKARTA TIMUR,MAKASAR,FARMASI,116
2019,JAKARTA TIMUR,CIPAYUNG,FARMASI,92
2019,JAKARTA TIMUR,PASAR REBO,FARMASI,87
2019,JAKARTA TIMUR,CIRACAS,FARMASI,57
2019,JAKARTA PUSAT,CEMPAKA PUTIH,FARMASI,122
2019,JAKARTA PUSAT,JOHAR BARU,FARMASI,15
2019,JAKARTA PUSAT,MENTENG,FARMASI,148
2019,JAKARTA PUSAT,TANAH ABANG,FARMASI,107
2019,JAKARTA PUSAT,KEMAYORAN,FARMASI,111
2019,JAKARTA PUSAT,SENEN,FARMASI,445
2019,JAKARTA PUSAT,SAWAH BESAR,FARMASI,43
2019,JAKARTA PUSAT,GAMBIR,FARMASI,124
2019,JAKARTA BARAT,KEMBANGAN,FARMASI,2
2019,JAKARTA BARAT,KEBON JERUK,FARMASI,7
2019,JAKARTA BARAT,PALMERAH,FARMASI,5
2019,JAKARTA BARAT,GROGOL PETAMBURAN,FARMASI,4
2019,JAKARTA BARAT,TAMBORA,FARMASI,5
2019,JAKARTA BARAT,TAMAN SARI,FARMASI,3
2019,JAKARTA BARAT,CENGKARENG,FARMASI,27
2019,JAKARTA BARAT,KALIDERES,FARMASI,15
2019,JAKARTA UTARA,PENJARINGAN,FARMASI,236
2019,JAKARTA UTARA,PADEMANGAN,FARMASI,76
2019,JAKARTA UTARA,TANJUNG PRIOK,FARMASI,198
2019,JAKARTA UTARA,KOJA,FARMASI,194
2019,JAKARTA UTARA,KELAPA GADING,FARMASI,210
